% Daily open value of the Dow Jones Industrial (DJI) Average 
%                  from 1/1/14 to 2/17/19
%
%   Normalized        Open 
%      Time           Value                
%
%      (x)              (y)
%
   1.8153607e-01   1.7903051e+04
   1.8231187e-01   1.7954939e+04
   1.8308766e-01   1.7847369e+04
   1.8386346e-01   1.7797990e+04
   1.8463926e-01   1.7534301e+04
   1.8541505e-01   1.7590051e+04
   1.8619085e-01   1.7285740e+04
   1.8696664e-01   1.7173070e+04
   1.8774244e-01   1.7069160e+04
   1.8851823e-01   1.7367850e+04
   1.8929403e-01   1.7778020e+04
   1.9006982e-01   1.7812250e+04
   1.9084562e-01   1.7971510e+04
   1.9162141e-01   1.8035730e+04
   1.9239721e-01   1.8038301e+04
   1.9317300e-01   1.8046580e+04
   1.9394880e-01   1.8035020e+04
   1.9472459e-01   1.7987660e+04
   1.9550039e-01   1.7823070e+04
   1.9627618e-01   1.7821301e+04
   1.9705198e-01   1.7504180e+04
   1.9782777e-01   1.7374779e+04
   1.9860357e-01   1.7591971e+04
   1.9937936e-01   1.7911020e+04
   2.0015516e-01   1.7742051e+04
   2.0093095e-01   1.7645020e+04
   2.0170675e-01   1.7609061e+04
   2.0248254e-01   1.7436301e+04
   2.0325834e-01   1.7320000e+04
   2.0403413e-01   1.7516961e+04
   2.0480993e-01   1.7509961e+04
   2.0558573e-01   1.7557289e+04
   2.0636152e-01   1.7812500e+04
   2.0713732e-01   1.7668109e+04
   2.0791311e-01   1.7638529e+04
   2.0868891e-01   1.7402910e+04
   2.0946470e-01   1.7195289e+04
   2.1024050e-01   1.7416850e+04
   2.1101629e-01   1.7169990e+04
   2.1179209e-01   1.7369971e+04
   2.1256788e-01   1.7664990e+04
   2.1334368e-01   1.7677260e+04
   2.1411947e-01   1.7881539e+04
   2.1489527e-01   1.7821490e+04
   2.1567106e-01   1.7736150e+04
   2.1644686e-01   1.7867859e+04
   2.1722265e-01   1.7862141e+04
   2.1799845e-01   1.7968650e+04
   2.1877424e-01   1.8019801e+04
   2.1955004e-01   1.8045721e+04
   2.2032583e-01   1.8028670e+04
   2.2110163e-01   1.7985770e+04
   2.2187742e-01   1.8140760e+04
   2.2265322e-01   1.8112570e+04
   2.2342901e-01   1.8208670e+04
   2.2420481e-01   1.8224410e+04
   2.2498061e-01   1.8213260e+04
   2.2575640e-01   1.8134051e+04
   2.2653220e-01   1.8281949e+04
   2.2730799e-01   1.8203369e+04
   2.2808379e-01   1.8096900e+04
   2.2885958e-01   1.8135721e+04
   2.2963538e-01   1.7856561e+04
   2.3041117e-01   1.7989561e+04
   2.3118697e-01   1.7662939e+04
